V_A,V_B,T_B
1.6927013429458864,2.502929311758682,48.32279576879746
1.6868887354234705,2.502921297915979,48.30647654993386
1.6810861250990616,2.5029033279435677,48.29009398014264
1.6752935119726597,2.502875433257686,48.27364826191879
1.6695108960442646,2.5028376451758705,48.25713959519063
1.6637382773138765,2.50278999491745,48.24056817734628
1.6579756557814953,2.502732513604038,48.223934203259766
1.652223031447121,2.502665232260019,48.207237865316735
1.6464804043107535,2.5025881818130364,48.19047935343992
1.640747774372393,2.50250139309447,48.173658855114205
1.6350251416320394,2.5024048968399164,48.15677655541137
1.6293125060896927,2.5022987236896626,48.13983263701454
1.623609867745353,2.502182904189157,48.12282728024229
1.61791722659902,2.502057468789477,48.105760663072424
1.612234582650694,2.501922447847796,48.088632961165494
1.606561935900375,2.501777871627842,48.071444347887955
1.6008992863480629,2.5016237703003568,48.05419499433504
1.5952466339937577,2.5014601739435522,48.036885069353374
1.5896039788374594,2.501287112543561,48.01951473956321
1.583971320879168,2.5011046159948864,48.00208416938049
1.5783486601188834,2.500912714100847,47.98459352103849
1.572735996556606,2.500711436574021,47.96704295460932
1.5671333301923351,2.5005008130366844,47.94943262802504
1.5615406610260714,2.5002808730212496,47.93176269709857
1.5559579890578146,2.5000516459706974,47.91403331554428
1.5503853142875645,2.4998131612390093,47.89624463499836
1.5448226367153215,2.4995654480915945,47.87839680503892
1.5392699563410854,2.499308535705715,47.86048997320578
1.5337272731648561,2.4990424531709086,47.842524285020104
1.5281945871866338,2.498767229489408,47.824499884003686
1.5226718984064183,2.4984828935765564,47.80641691169806
1.5171592068242097,2.4981894742612227,47.7882755076833
1.511656512440008,2.4978870002862115,47.77007580959668
1.5061638152538133,2.4975755003086713,47.75181795315097
1.5006811152656254,2.497255002900501,47.733502072152596
1.4952084124754446,2.4969255365487517,47.715128298519545
1.4897457068832705,2.4965871296560267,47.69669676229902
1.4842929984891033,2.4962398105408803,47.67820759168489
1.4788502872929432,2.4958836074382114,47.65966091303492
1.4734175732947898,2.495518548499656,47.64105685088778
1.4679948564946435,2.495144661793978,47.62239552797983
1.462582136892504,2.494761975307455,47.60367706526173
1.4571794144883714,2.494370516944262,47.584901581914764
1.4517866892822457,2.4939703145268566,47.56606919536706
1.446403961274127,2.4935613957963554,47.547180021309515
1.4410312304640152,2.493143788412913,47.52823417371158
1.4356684968519102,2.4927175199560954,47.50923176483683
1.4303157604378123,2.492282617925253,47.4901729052583
1.424973021221721,2.49183910973989,47.47105770387371
1.419640279203637,2.4913870227400325,47.45188626792042
1.4143175343835597,2.4909263841865914,47.43265870299025
1.4090047867614892,2.490457221261727,47.41337511304408
1.4037020363374257,2.4899795610692093,47.3940356004263
1.3984092831113693,2.4894934306347745,47.37464026587905
1.3931265270833195,2.4889988569064823,47.35518920855631
1.3878537682532768,2.4884958667550685,47.3356825260378
1.3825910066212408,2.4879844869742955,47.3161203143427
1.3773382421872118,2.4874647442813025,47.2965026679432
1.3720954749511898,2.486936665316951,47.27682967977793
1.3668627049131745,2.48640027664617,47.25710144126514
1.3616399320731662,2.4858556047582985,47.23731804231578
1.356427156431165,2.485302676067424,47.217479571346395
1.3512243779871704,2.484741516912723,47.19758611529188
1.346031596741183,2.484172153558794,47.17763775961802
1.3408488126932023,2.4835946121959935,47.15763458833398
1.3356760258432285,2.4830089189407665,47.13757668400451
1.3305132361912617,2.4824150998359755,47.11746412776212
1.3253604437373019,2.48181318085123,47.09729699931901
1.3202176484813488,2.4812031878832084,47.07707537697895
1.3150848504234027,2.480585146755985,47.05679933764888
1.3099620495634636,2.47995908322135,47.03646895685053
1.3048492459015313,2.479325022959127,47.01608430873174
1.299746439437606,2.478682991577493,46.995645466077775
1.2946536301716876,2.4780330146132927,46.975152500322395
1.289570818103776,2.4773751175323517,46.95460548155886
1.2844980032338713,2.476709325729788,46.93400447855076
1.2794351855619737,2.4760356645303223,46.913349558742745
1.2743823650880828,2.475354159188585,46.89264078827107
1.2693395418121989,2.474664834889421,46.871878231974094
1.264306715734322,2.4739677167481955,46.85106195340255
