Index,Exp x0,Exp a,Exp b,Exp fcalls,Fib x,Fib y,Fib fcalls,Lag x,Lag y,Lag fcalls
31,61.75583494,62.05583494,64.45583494,12,9.35E-10,-7.16E-18,27,-1.16E-05,2.67E-15,16
32,-33.81528448,-25.71528448,39.08471552,18,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
33,2.107961108,-5.992038892,1.207961108,16,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
34,43.9389462,-28.9610538,35.8389462,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
35,-75.60124246,-51.30124246,143.0987575,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
36,88.62346344,15.72346344,80.52346344,20,9.35E-10,-7.16E-18,27,-3.40E-05,2.32E-14,16
37,6.855373543,-17.44462646,4.155373543,18,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
38,-48.75851715,-24.45851715,169.9414828,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
39,20.26790283,-52.63209717,12.16790283,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
40,-92.46188362,-68.16188362,126.2381164,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
41,58.67572283,59.57572283,66.77572283,14,9.35E-10,-7.16E-18,27,-1.15E-05,2.62E-15,16
42,17.00810334,-55.89189666,8.908103342,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
43,-41.19644205,-33.09644205,31.70355795,18,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
44,85.6629511,12.7629511,77.5629511,20,9.35E-10,-7.16E-18,27,-5.34E-05,5.70E-14,16
45,-16.96201629,7.337983711,201.7379837,20,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
46,-41.90994564,-33.80994564,30.99005436,18,9.35E-10,-7.16E-18,27,-0.000104968,2.20E-13,16
